,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Sachsens,Sachsens,LOC,-0.08641975,0.00000000,de,8.10000000,,0,,,,,,
Schleswig-Holstein,Schleswig-Holstein,LOC,0.20164609,0.04115226,de,8.10000000,4052692-6,2838632,A,54.20000000,9.75000000,EUROPE,Germany,NEU
Rhein-Main-Gebiet,Rhein-Main-Gebiet,LOC,-0.08860759,0.00000000,de,7.90000000,4049799-9,2847616,L,50.00000000,8.66667000,EUROPE,Germany,WCE
Berlins,Berlins,LOC,0.12820513,0.00000000,de,7.80000000,,2193381,T,-41.90000000,171.83333000,OCEANIA,New Zealand,NZ
Klimaanlagen,Klimaanlagen,LOC,0.19178082,0.00000000,de,7.30000000,,0,,,,,,
Formentera,Formentera,LOC,0.21461187,0.04566210,de,7.30000000,4017869-9,2517690,T,38.69467000,1.46919000,EUROPE-AFRICA,Spain,MED
Westeuropa,Westeuropa,LOC,0.06849315,0.06849315,de,7.30000000,4079215-8,9408659,L,50.21909000,7.42676000,EUROPE,Germany,WCE
Chiles,Chiles,LOC,-0.26940639,0.45662100,de,7.30000000,,7730111,S,11.03530000,-84.70610000,CENTRAL-AMERICA,Costa Rica,SCA
Gewässern,Gewässern,LOC,-0.09589041,0.27397260,de,7.30000000,,0,,,,,,
Ukraine,Ukraine,LOC,-0.13698630,0.00000000,de,7.30000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Hitzerekorde,Hitzerekorde,LOC,-0.09589041,0.00000000,de,7.30000000,,0,,,,,,
Washington,Washington,LOC,0.23611111,0.41666667,de,7.20000000,4064682-8,4140963,P,38.89511000,-77.03637000,NORTH-AMERICA,United States,ENA
Salzburg,Salzburg,LOC,-0.04929577,0.21126761,de,7.10000000,4076982-3,2766824,P,47.79941000,13.04399000,EUROPE,Austria,WCE
Kliniken,Kliniken,LOC,0.14084507,0.28169014,de,7.10000000,,11610676,P,48.13564000,11.55916000,EUROPE,Germany,WCE
Landtag,Landtag,LOC,-0.21428571,0.07142857,de,7.00000000,,7302299,S,48.77856000,9.18340000,EUROPE,Germany,WCE
Kroatien,Kroatien,LOC,-0.10000000,0.14285714,de,7.00000000,4073841-3,3202326,A,45.16667000,15.50000000,EUROPE,Croatia,WCE
Bonn,Bonn,LOC,-0.20000000,0.00000000,de,7.00000000,4007666-0,6296510,S,50.87894000,7.12292000,EUROPE,Germany,WCE
Bächen,Bächen,LOC,-0.20895522,0.00000000,de,6.70000000,7761177-9,11584770,P,47.15998000,8.80579000,EUROPE,Switzerland,WCE
Stuttgart,Stuttgart,LOC,0.00000000,0.00000000,de,6.70000000,4058282-6,2825297,P,48.78232000,9.17702000,EUROPE,Germany,WCE
Brüssel,Brüssel,LOC,-0.10769231,0.00000000,de,6.50000000,4008460-7,2800866,P,50.85045000,4.34878000,EUROPE,Belgium,WCE
Notstand,Notstand,LOC,0.00000000,0.00000000,de,6.40000000,,0,,,,,,
Wäldern,Wäldern,LOC,-0.02343750,0.15625000,de,6.40000000,1075219485,3314082,L,49.11669000,10.18334000,EUROPE,Germany,WCE
Regen,Regen,LOC,0.27343750,0.07812500,de,6.40000000,4048975-9,2849495,P,48.97190000,13.12824000,EUROPE,Germany,WCE
Gohrischheide,Gohrischheide,LOC,0.10937500,0.00000000,de,6.40000000,,3313919,V,51.40078000,13.33861000,EUROPE,Germany,WCE
US-Regierung,US-Regierung,LOC,-0.10937500,0.15625000,de,6.40000000,,0,,,,,,
Halle,Halle,LOC,0.32812500,0.00000000,de,6.40000000,4023027-2,2911522,P,51.48158000,11.97947000,EUROPE,Germany,WCE
Kitzingen,Kitzingen,LOC,-0.10937500,0.00000000,de,6.40000000,4030899-6,6296850,S,49.74306000,10.20056000,EUROPE,Germany,WCE
Australien,Australien,LOC,0.15625000,0.15625000,de,6.40000000,4003900-6,2077456,A,-25.00000000,135.00000000,OCEANIA,Australia,CAU
Afrika,Afrika,LOC,0.31250000,0.15625000,de,6.40000000,4000695-5,6255146,L,7.18810000,21.09375000,AFRICA,Central African Republic,CAF
Atlantik,Atlantik,LOC,-0.10937500,0.00000000,de,6.40000000,4003388-0,2395914,P,6.44852000,2.35566000,AFRICA,Benin,WAF
Vorarlberg,Vorarlberg,LOC,0.19270833,0.00000000,de,6.40000000,4063944-7,2762300,A,47.25000000,9.91667000,EUROPE,Austria,WCE
Vereinigten Staaten,Vereinigten Staaten,LOC,-0.02343750,0.00000000,de,6.40000000,4078704-7,6252001,A,39.76000000,-98.50000000,NORTH-AMERICA,United States,CNA
Innsbruck,Innsbruck,LOC,-0.04687500,0.00000000,de,6.40000000,4027096-8,2775220,P,47.26266000,11.39454000,EUROPE,Austria,WCE
A8,A8,LOC,-0.05468750,0.23437500,de,6.40000000,,7628306,A,56.43250000,21.56500000,EUROPE,Latvia,NEU
England,England,LOC,0.00000000,0.00000000,de,6.30000000,4014770-8,11919979,L,44.00000000,-71.00000000,NORTH-AMERICA,United States,ENA
Hitze-Liveblog,Hitze-Liveblog,LOC,-0.26984127,0.00000000,de,6.30000000,,0,,,,,,
Burgenland,Burgenland,LOC,-0.13709677,0.00000000,de,6.20000000,4009114-4,2781194,A,47.50000000,16.41667000,EUROPE,Austria,WCE
Anmarsch,Anmarsch,LOC,0.16129032,0.00000000,de,6.20000000,,0,,,,,,
Potsdamer,Potsdamer,LOC,0.24590164,0.24590164,de,6.10000000,,2852454,S,52.50939000,13.37638000,EUROPE,Germany,WCE
Leipzig,Leipzig,LOC,0.22950820,0.00000000,de,6.10000000,4035206-7,2879139,P,51.33962000,12.37129000,EUROPE,Germany,WCE
Waldbrandrisiko,Waldbrandrisiko,LOC,0.45901639,0.16393443,de,6.10000000,,0,,,,,,
d…,d…,LOC,0.00000000,0.00000000,de,5.80000000,,0,,,,,,
Champagne,Champagne,LOC,0.00000000,0.18181818,de,5.50000000,4009728-6,3027257,A,48.75000000,4.50000000,EUROPE,France,WCE
Dürre,Dürre,LOC,0.00000000,0.36363636,de,5.50000000,,2934402,T,50.63333000,13.30000000,EUROPE,Germany,WCE
Sizilien,Sizilien,LOC,0.00000000,0.54545455,de,5.50000000,4055193-3,2523118,T,37.62304000,13.93457000,EUROPE-AFRICA,Italy,MED
Böden,Böden,LOC,0.00000000,0.00000000,de,5.50000000,,11903818,P,47.67815000,14.17010000,EUROPE,Austria,WCE
Ostsee,Ostsee,LOC,0.41212121,0.06060606,de,5.50000000,4044107-6,2633321,H,56.00000000,18.00000000,EUROPE,,NEU
Sommerdürre,Sommerdürre,LOC,0.76363636,0.00000000,de,5.50000000,,0,,,,,,
Utah,Utah,LOC,-0.18181818,0.00000000,de,5.50000000,4062214-9,5549030,A,39.25024000,-111.75103000,NORTH-AMERICA,United States,WNA
Harz,Harz,LOC,-0.12727273,0.36363636,de,5.50000000,4023568-3,2909965,T,51.75619000,10.63462000,EUROPE,Germany,WCE
Ungarn,Ungarn,LOC,-0.54545455,0.00000000,de,5.50000000,4078541-5,719819,A,47.00000000,20.00000000,EUROPE,Hungary,WCE
Baden,Baden,LOC,-0.12962963,0.00000000,de,5.40000000,4058282-6,2825297,P,48.78232000,9.17702000,EUROPE,Germany,WCE
Sturmböen,Sturmböen,LOC,-0.87037037,0.00000000,de,5.40000000,,0,,,,,,
Magdeburg,Magdeburg,LOC,0.00000000,0.18518519,de,5.40000000,4036934-1,2874545,P,52.13129000,11.63189000,EUROPE,Germany,WCE
Neuhausen ob Eck,Neuhausen ob Eck,LOC,0.00000000,0.00000000,de,5.40000000,4211835-9,2865085,P,47.97257000,8.92759000,EUROPE,Germany,WCE
Hitzealarm,Hitzealarm,LOC,-0.05882353,0.00000000,de,5.10000000,,0,,,,,,
Zürich,Zürich,LOC,-0.07638889,0.13888889,de,4.80000000,4068038-1,2657896,P,47.36667000,8.55000000,EUROPE,Switzerland,WCE
Madrid,Madrid,LOC,0.44680851,0.00000000,de,4.70000000,4036862-2,3117735,P,40.41650000,-3.70256000,EUROPE-AFRICA,Spain,MED
Greenpeace,Greenpeace,LOC,0.00000000,0.21739130,de,4.60000000,,0,,,,,,
Bundes,Bundes,LOC,0.25000000,0.00000000,de,4.60000000,,0,,,,,,
Los Angeles,Los Angeles,LOC,0.15217391,0.00000000,de,4.60000000,4036361-2,5368361,P,34.05223000,-118.24368000,NORTH-AMERICA,United States,WNA
Sahara,Sahara,LOC,-0.21739130,0.00000000,de,4.60000000,4051293-9,2212709,T,26.00000000,13.00000000,AFRICA,Libya,SAH
Kampfmitteln,Kampfmitteln,LOC,0.00000000,0.00000000,de,4.60000000,,0,,,,,,
Hitzestress,Hitzestress,LOC,0.00000000,0.21739130,de,4.60000000,,0,,,,,,
Baruth,Baruth,LOC,0.00000000,0.00000000,de,4.60000000,,7602464,A,52.05000000,13.50000000,EUROPE,Germany,WCE
Antalya,Antalya,LOC,0.15217391,0.00000000,de,4.60000000,4079795-8,323777,P,36.90812000,30.69556000,EUROPE-AFRICA,Turkey,MED
Trump,Trump,LOC,0.00000000,0.00000000,de,4.60000000,,6627046,T,-66.03882000,-65.96845000,POLAR,Antarctica,WAN
Mexiko,Mexiko,LOC,0.30434783,0.00000000,de,4.60000000,4039058-5,3996063,A,23.00000000,-102.00000000,CENTRAL-AMERICA,Mexico,NCA
Waldbrände,Waldbrände,LOC,0.00000000,0.00000000,de,4.60000000,,0,,,,,,
Mallorca,Mallorca,LOC,-0.15217391,0.00000000,de,4.60000000,4115833-7,2512989,P,39.56939000,2.65024000,EUROPE-AFRICA,Spain,MED
Russlands,Russlands,LOC,0.00000000,0.21739130,de,4.60000000,,6251669,S,-45.84839000,168.80008000,OCEANIA,New Zealand,NZ
Toronto,Toronto,LOC,-0.21739130,0.00000000,de,4.60000000,4060459-7,6167865,P,43.70643000,-79.39864000,NORTH-AMERICA,Canada,ENA
t3n.de,t3n.de,LOC,0.45652174,0.00000000,de,4.60000000,,0,,,,,,
Stadt München,Stadt München,LOC,0.30434783,0.21739130,de,4.60000000,4245720-8,2867714,P,48.13743000,11.57549000,EUROPE,Germany,WCE
Rhein-Main-Liveblog,Rhein-Main-Liveblog,LOC,-0.18478261,0.00000000,de,4.60000000,,0,,,,,,
Thüringens,Thüringens,LOC,-0.15217391,0.00000000,de,4.60000000,,11550794,S,50.27720000,10.80180000,EUROPE,Germany,WCE
Rhein-Main,Rhein-Main,LOC,0.30434783,0.00000000,de,4.60000000,,2847616,L,50.00000000,8.66667000,EUROPE,Germany,WCE
Stromausfälle,Stromausfälle,LOC,-0.06521739,0.21739130,de,4.60000000,,0,,,,,,
Niederlanden,Niederlanden,LOC,0.15217391,0.43478261,de,4.60000000,,0,,,,,,
Dänemark,Dänemark,LOC,0.42753623,0.07246377,de,4.60000000,4010877-6,2623032,A,56.00000000,10.00000000,EUROPE,Denmark,NEU
Warnungen,Warnungen,LOC,0.45652174,0.00000000,de,4.60000000,,0,,,,,,
Orkanböen,Orkanböen,LOC,-0.50000000,0.00000000,de,4.60000000,,0,,,,,,
Heathrow,Heathrow,LOC,0.65217391,0.00000000,de,4.60000000,5099829-8,2647216,S,51.47115000,-0.45649000,EUROPE,United Kingdom,NEU
Briten,Briten,LOC,-0.21014493,0.14492754,de,4.60000000,4321693-6,4839292,P,41.66121000,-72.77954000,NORTH-AMERICA,United States,ENA
Wetterau,Wetterau,LOC,-0.25000000,0.00000000,de,4.60000000,4018510-2,2924802,P,50.33739000,8.75591000,EUROPE,Germany,WCE
Andalusien,Andalusien,LOC,-0.36956522,0.00000000,de,4.60000000,4001909-3,2593109,A,37.50000000,-4.58333000,EUROPE-AFRICA,Spain,MED
Bremen,Bremen,LOC,0.18478261,0.21739130,de,4.60000000,4090044-7,2944388,P,53.07582000,8.80717000,EUROPE,Germany,NEU
Westeuropas,Westeuropas,LOC,-0.31111111,0.00000000,de,4.50000000,,0,,,,,,
sn,sn,LOC,0.15555556,0.00000000,de,4.50000000,4000695-5,6255146,L,7.18810000,21.09375000,AFRICA,Central African Republic,CAF
Süddeutschland,Süddeutschland,LOC,-0.15555556,0.44444444,de,4.50000000,4078022-3,12909096,L,48.58781000,10.71652000,EUROPE,Germany,WCE
Amazonas,Amazonas,LOC,0.00000000,0.45454545,de,4.40000000,4001626-2,3689982,A,-1.16667000,-71.50000000,SOUTH-AMERICA,Colombia,NSA
Wetterdienst,Wetterdienst,LOC,0.00000000,0.00000000,de,4.40000000,,0,,,,,,
Nordamerika,Nordamerika,LOC,-0.31818182,0.22727273,de,4.40000000,4042483-2,6255149,L,46.07323000,-100.54688000,NORTH-AMERICA,United States,CNA
Nordjapan,Nordjapan,LOC,-0.15909091,0.00000000,de,4.40000000,,0,,,,,,
